7656,,,
city,latitude,longitude,address
Aberdeen Maryland 21001,39.5105,-76.163044,Maryland House Travel Plaza
Aberdeen Washington 98520,46.9742,-123.835649,Safeway - Aberdeen #1546
Aberdeen Washington 98520,46.975875,-123.815964,1202 Wishkah St- Aberdeen
Aberdeen Washington 98520,46.975875,-123.815964,Grays Harbor Haggens
Abilene Texas 79605,32.43412,-99.771529,Albertsons-Abilene #4237
Abilene Texas 79606,32.427571,-99.786302,Buffalo Gap - Hwy. 83
Abingdon Maryland 21009,39.471783,-76.301785,Target Abingdon T-1871
Absecon New Jersey 08205,39.474419,-74.473297,Galloway
Accokeek Maryland 20607,38.660021,-77.021138,Manokeek
Ada Michigan 49301,42.966823,-85.490355,D - W-Woody's Market-Ada
Addison Texas 75001,32.953051,-96.850468,Beltline - Marsh
Addison Texas 75001,32.95732,-96.838469,Tom Thumb-Addison #2643
Addison Texas 75240,32.93321,-96.789519,Quorum One
Agoura Hills California 91301,34.14351,-118.760189,Vons-Agoura Hills #2001
Aiken South Carolina 29803,33.48782,-81.717549,Kroger-Aiken #675
Airmont New York 10901,41.110934,-74.098598,Suffern Airmont
Ajax Ontario L1Z 1G1,43.860323,-79.008279,Durham   Chapters   Ajax
Akron Ohio 443101806,32.696117,-88.519501,Chapel Hill Mall Kiosk
Akron Ohio 44312,41.03182,-81.436558,Coventry Township  Arlington Rd
Akron Ohio 44313,41.12265,-81.56988,Akron - West Market - Sand rd
Akron Ohio 44313,41.16204,-81.575625,Summit Mall
Akron Ohio 44325,41.084192,-81.514052,U of Akron - Student Union
Akron Ohio 44333,41.187355,-81.636389,Fairlawn
Alameda California 94501,37.756586,-122.252322,South Shore Shopping Center
Alameda California 94501,37.770605,-122.260079,Safeway - Alameda #2708
Alameda California 94501,37.77105,-122.262819,Albertsons-Alameda #7031
Alameda California 94501,37.77105,-122.262819,Park Street - Central - Alameda
Alameda California 94501,37.77105,-122.262819,Webster - Atlantic - Alameda
Alamo California 94507,37.855535,-122.015918,Las Trampas - Danville- Alamo
Alamo California 94507,37.855535,-122.015918,Safeway-Alamo #962
Alamosa Colorado 81101,37.47201,-105.872909,Safeway-Alamosa #1681
Albany California 94706,37.890545,-122.294019,Target Albany T-1926
Albany Georgia 31702,31.58076,-84.155989,Phoebe Putney Memorial Hospital
Albany Georgia 31707,31.58992,-84.197488,Phoebe Putney Medical Building
Albany New York 12203,42.682465,-73.838559,Stuyvesant Plaza
